scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Lycium ameghinoi,Lycium ameghinoi,ot_1003_Tr100305.nex,-,Lycium ameghinoi,Lycium ameghinoi,"{'@tb:identifier.taxon': 116721, '@tb:identifier.taxonVariant': 195073, '@ubio': '5960506', '@uniprot': '112860'}",40032
Anthocercis littorea,Anthocercis littorea,ot_1003_Tr100305.nex,-,Anthocercis littorea,Anthocercis littorea,"{'@tb:identifier.taxon': 1856, '@tb:identifier.taxonVariant': 4536, '@ubio': '3439867', '@uniprot': '195721'}",286580
Solanum doddsii,Solanum doddsii,ot_1003_Tr100305.nex,-,Solanum doddsii,Solanum doddsii,"{'@tb:identifier.taxon': 27171, '@tb:identifier.taxonVariant': 63444, '@ubio': '5866420', '@uniprot': '205547'}",3870028
Petunia saxicola,Petunia saxicola,ot_1003_Tr100305.nex,-,Petunia saxicola,Petunia saxicola,"{'@tb:identifier.taxon': 283622, '@tb:identifier.taxonVariant': 336733, '@ubio': '5912924', '@uniprot': '323110'}",446932
Physalis philadelphica,Physalis philadelphica,ot_1003_Tr100305.nex,-,Physalis philadelphica,Physalis philadelphica,"{'@tb:identifier.taxon': 22185, '@tb:identifier.taxonVariant': 51587, '@ubio': '2668646', '@uniprot': '304130'}",788338
Schizanthus grahamii,Schizanthus grahamii,ot_1003_Tr100305.nex,-,Schizanthus grahamii,Schizanthus grahamii,"{'@tb:identifier.taxon': 315564, '@tb:identifier.taxonVariant': 360783, '@ubio': '5874571', '@uniprot': '360628'}",94236
Physalis campanulata,Physalis campanulata,ot_1003_Tr100305.nex,-,Physalis campanulata,Physalis campanulata,"{'@tb:identifier.taxon': 22158, '@tb:identifier.taxonVariant': 51524, '@ubio': '3440296', '@uniprot': '304140'}",414769
Mandragora turcomanica,Mandragora turcomanica,ot_1003_Tr100305.nex,-,Mandragora turcomanica,Mandragora turcomanica,"{'@tb:identifier.taxon': 619548, '@tb:identifier.taxonVariant': 829627, '@ubio': '5923752'}",855651
Anthocercis myosotidea,Anthocercis myosotidea,ot_1003_Tr100305.nex,-,Anthocercis myosotidea,Anthocercis myosotidea,"{'@tb:identifier.taxon': 8150, '@tb:identifier.taxonVariant': 113196, '@ubio': '5969316', '@uniprot': '196374'}",994196
Cestrum chiriquianum,Cestrum chiriquianum,ot_1003_Tr100305.nex,-,Cestrum chiriquianum,Cestrum chiriquianum,"{'@tb:identifier.taxon': 36745, '@tb:identifier.taxonVariant': 85041, '@ubio': '9138199', '@uniprot': '385321'}",392643
Solanum prinophyllum,Solanum prinophyllum,ot_1003_Tr100305.nex,-,Solanum prinophyllum,Solanum prinophyllum,"{'@tb:identifier.taxon': 27248, '@tb:identifier.taxonVariant': 63599, '@ubio': '5970598', '@uniprot': '205572'}",210906
Solanum sparsipilum,Solanum sparsipilum,ot_1003_Tr100305.nex,-,Solanum sparsipilum,Solanum sparsipilum,"{'@tb:identifier.taxon': 162437, '@tb:identifier.taxonVariant': 438765, '@ubio': '5866299', '@uniprot': '172796'}",598918
Solanum gabrielae,Solanum gabrielae,ot_1003_Tr100305.nex,-,Solanum gabrielae,Solanum gabrielae,"{'@tb:identifier.taxon': 619564, '@tb:identifier.taxonVariant': 829643, '@ubio': '9108692'}",414062
Solanum sturtianum,Solanum sturtianum,ot_1003_Tr100305.nex,-,Solanum sturtianum,Solanum sturtianum,"{'@tb:identifier.taxon': 34299, '@tb:identifier.taxonVariant': 79177, '@ubio': '5863113'}",715556
Juanulloa mexicana,Juanulloa mexicana,ot_1003_Tr100305.nex,-,Juanulloa mexicana,Juanulloa mexicana,"{'@tb:identifier.taxon': 429018, '@tb:identifier.taxonVariant': 565219, '@ubio': '9117239', '@uniprot': '540808'}",232454
Solanum horridum,Solanum horridum,ot_1003_Tr100305.nex,-,Solanum horridum,Solanum horridum,"{'@tb:identifier.taxon': 619569, '@tb:identifier.taxonVariant': 829648, '@ubio': '9193846'}",991002
Jaltomata dendroidea,Jaltomata dendroidea,ot_1003_Tr100305.nex,-,Jaltomata dendroidea,Jaltomata dendroidea,-,1058975
Nolana elegans,Nolana elegans,ot_1003_Tr100305.nex,-,Nolana elegans,Nolana elegans,"{'@tb:identifier.taxon': 95033, '@tb:identifier.taxonVariant': 174204, '@ubio': '5957957', '@uniprot': '84183'}",405028
Cestrum acutifolium,Cestrum acutifolium,ot_1003_Tr100305.nex,-,Cestrum acutifolium,Cestrum acutifolium,"{'@tb:identifier.taxon': 36747, '@tb:identifier.taxonVariant': 85046, '@ubio': '3439966', '@uniprot': '385318'}",918542
Nicotiana umbratica,Nicotiana umbratica,ot_1003_Tr100305.nex,-,Nicotiana umbratica,Nicotiana umbratica,"{'@tb:identifier.taxon': 121197, '@tb:identifier.taxonVariant': 199005, '@ubio': '5845942', '@uniprot': '118712'}",210476
Fabiana imbricata,Fabiana imbricata,ot_1003_Tr100305.nex,-,Fabiana imbricata,Fabiana imbricata,"{'@tb:identifier.taxon': 279062, '@tb:identifier.taxonVariant': 477301, '@ubio': '2669859', '@uniprot': '317934'}",851417
Lycianthes pringlei,Lycianthes pringlei,ot_1003_Tr100305.nex,-,Lycianthes pringlei,Lycianthes pringlei,"{'@tb:identifier.taxon': 342859, '@tb:identifier.taxonVariant': 378926, '@ubio': '8728667', '@uniprot': '393160'}",864338
Witheringia macrantha,Witheringia macrantha,ot_1003_Tr100305.nex,-,Witheringia macrantha,Witheringia macrantha,"{'@tb:identifier.taxon': 30938, '@tb:identifier.taxonVariant': 72206, '@ubio': '5981232', '@uniprot': '304117'}",839488
Solanum dasyphyllum,Solanum dasyphyllum,ot_1003_Tr100305.nex,-,Solanum dasyphyllum,Solanum dasyphyllum,"{'@tb:identifier.taxon': 27167, '@tb:identifier.taxonVariant': 63429, '@ubio': '5863087', '@uniprot': '329772'}",14212
Solanum annuum,Solanum annuum,ot_1003_Tr100305.nex,-,Solanum annuum,Solanum annuum,"{'@tb:identifier.taxon': 619551, '@tb:identifier.taxonVariant': 829630, '@ubio': '9173696'}",3870184
Schizanthus laetus,Schizanthus laetus,ot_1003_Tr100305.nex,-,Schizanthus laetus,Schizanthus laetus,"{'@tb:identifier.taxon': 315568, '@tb:identifier.taxonVariant': 360791, '@ubio': '5985524', '@uniprot': '360632'}",668613
Iochroma fuchsioides,Iochroma fuchsioides,ot_1003_Tr100305.nex,-,Iochroma fuchsioides,Iochroma fuchsioides,"{'@tb:identifier.taxon': 14637, '@tb:identifier.taxonVariant': 34390, '@ubio': '5981224', '@uniprot': '304105'}",315013
Nicotiana tabacum,Nicotiana tabacum,ot_1003_Tr100305.nex,-,Nicotiana tabacum,Nicotiana tabacum,"{'@tb:identifier.taxon': 19095, '@tb:identifier.taxonVariant': 44449, '@ubio': '2653643', '@uniprot': '4097'}",222787
Nicotiana glauca,Nicotiana glauca,ot_1003_Tr100305.nex,-,Nicotiana glauca,Nicotiana glauca,"{'@tb:identifier.taxon': 50903, '@tb:identifier.taxonVariant': 120496, '@ubio': '2653647', '@uniprot': '4090'}",222783
