otuId,scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottTaxonName,^ot:ottId,^ot:originalLabel
otu333,Cyornis whitei,Cyornis whitei,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis whitei', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis whitei,7660848,Cyornis whitei
otu3330,Petroica goodenovii,Petroica goodenovii,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica goodenovii', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica goodenovii,247355,Petroica goodenovii
otu3331,Petroica archboldi,Petroica archboldi,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica archboldi', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica archboldi,3599136,Petroica archboldi
otu3332,Petroica bivittata,Petroica bivittata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Petroica bivittata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Petroica bivittata,3599138,Petroica bivittata
otu3333,Pachycephalopsis poliosoma,Pachycephalopsis poliosoma,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Pachycephalopsis poliosoma', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Pachycephalopsis poliosoma,1066403,Pachycephalopsis poliosoma
otu3334,Pachycephalopsis hattamensis,Pachycephalopsis hattamensis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Pachycephalopsis hattamensis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Pachycephalopsis hattamensis,55848,Pachycephalopsis hattamensis
otu3335,Amalocichla sclateriana,Amalocichla sclateriana,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Amalocichla sclateriana', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Amalocichla sclateriana,830256,Amalocichla sclateriana
otu3336,Amalocichla incerta,Amalocichla incerta,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Amalocichla incerta', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Amalocichla incerta,830253,Amalocichla incerta
otu3337,Tregellasia leucops,Tregellasia leucops,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Tregellasia leucops', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Tregellasia leucops,699631,Tregellasia leucops
otu3338,Tregellasia capito,Tregellasia capito,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Tregellasia capito', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Tregellasia capito,1023134,Tregellasia capito
otu3339,Eopsaltria georgiana,Eopsaltria georgiana,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eopsaltria georgiana', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Eopsaltria georgiana,746859,Eopsaltria georgiana
otu334,Cyornis omissus,Cyornis omissus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis omissus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis omissus,3598190,Cyornis omissus
otu3340,Eopsaltria griseogularis,Eopsaltria griseogularis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eopsaltria griseogularis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Eopsaltria griseogularis,746860,Eopsaltria griseogularis
otu3341,Eopsaltria australis,Eopsaltria australis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eopsaltria australis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Eopsaltria australis,465916,Eopsaltria australis
otu3342,Poecilodryas placens,Poecilodryas placens,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas placens', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas placens,1074598,Poecilodryas placens
otu3343,Peneothello sigillata,Peneothello sigillata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Peneothello sigillata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Peneothello sigillata,172681,Peneothello sigillata
otu3344,Peneothello cryptoleuca,Peneothello cryptoleuca,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Peneothello cryptoleuca', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Peneothello cryptoleuca,3599140,Peneothello cryptoleuca
otu3345,Peneothello cyanus,Peneothello cyanus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Peneothello cyanus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Peneothello cyanus,746856,Peneothello cyanus
otu3346,Peneothello pulverulenta,Eopsaltria pulverulenta,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eopsaltria pulverulenta', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Peneothello pulverulenta,746854,Eopsaltria pulverulenta
otu3347,Peneothello bimaculata,Peneothello bimaculata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Peneothello bimaculata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Peneothello bimaculata,269017,Peneothello bimaculata
otu3348,Melanodryas cucullata,Melanodryas cucullata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melanodryas cucullata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melanodryas cucullata,1015946,Melanodryas cucullata
otu3349,Melanodryas vittata,Melanodryas vittata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melanodryas vittata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melanodryas vittata,746862,Melanodryas vittata
otu335,Cyornis rufigastra,Cyornis rufigastra,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis rufigastra', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis rufigastra,467530,Cyornis rufigastra
otu3350,Poecilodryas superciliosa,Poecilodryas superciliosa,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas superciliosa', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas superciliosa,172671,Poecilodryas superciliosa
otu3351,Poecilodryas cerviniventris,Poecilodryas cerviniventris,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas cerviniventris', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas cerviniventris,172672,Poecilodryas cerviniventris
otu3352,Poecilodryas hypoleuca,Poecilodryas hypoleuca,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas hypoleuca', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas hypoleuca,914597,Poecilodryas hypoleuca
otu3353,Poecilodryas albispecularis,Heteromyias albispecularis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Heteromyias albispecularis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas albispecularis,664,Heteromyias albispecularis
otu3354,Poecilodryas brachyura,Poecilodryas brachyura,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas brachyura', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas brachyura,3599129,Poecilodryas brachyura
otu3355,Poecilodryas albonotata,Poecilodryas albonotata,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Poecilodryas albonotata', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Poecilodryas albonotata,630998,Poecilodryas albonotata
otu3356,Drymodes brunneopygia,Drymodes brunneopygia,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Drymodes brunneopygia', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Drymodes brunneopygia,1061814,Drymodes brunneopygia
otu3357,Drymodes beccarii,Drymodes beccarii,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Drymodes beccarii', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Drymodes beccarii,6153709,Drymodes beccarii
otu3358,Monachella muelleriana,Monachella muelleriana,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Monachella muelleriana', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Monachella muelleriana,683372,Monachella muelleriana
otu3359,Microeca fascinans,Microeca fascinans,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Microeca fascinans', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca fascinans,715133,Microeca fascinans
otu336,Cyornis magnirostris,Cyornis magnirostris,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis magnirostris', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis magnirostris,3598194,Cyornis magnirostris
otu3360,Microeca flavigaster,Microeca flavigaster,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Microeca flavigaster', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca flavigaster,746863,Microeca flavigaster
otu3361,Microeca flaviventris,Eopsaltria flaviventris,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eopsaltria flaviventris', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca flaviventris,1027306,Eopsaltria flaviventris
otu3362,Microeca papuana,Microeca papuana,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Microeca papuana', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca papuana,1015942,Microeca papuana
otu3363,Microeca flavovirescens,Microeca flavovirescens,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Microeca flavovirescens', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca flavovirescens,172688,Microeca flavovirescens
otu3364,Microeca griseoceps,Microeca griseoceps,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Microeca griseoceps', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Microeca griseoceps,746865,Microeca griseoceps
otu3365,Eupetes macrocerus,Eupetes macrocerus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Eupetes macrocerus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Eupetes macrocerus,193904,Eupetes macrocerus
otu3366,Chaetops frenatus,Chaetops frenatus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Chaetops frenatus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Chaetops frenatus,360543,Chaetops frenatus
otu3367,Chaetops aurantius,Chaetops aurantius,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Chaetops aurantius', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Chaetops aurantius,388832,Chaetops aurantius
